fold_on_predict,fold_on_train,img_id
3,3,Atlanta_nadir14_catid_10300100039AB000_738101_3735039
3,3,Atlanta_nadir19_catid_1030010003C92000_738101_3735039
3,3,Atlanta_nadir42_catid_10300100035D1B00_738101_3735039
3,3,Atlanta_nadir46_catid_1030010003713C00_738101_3735039
3,3,Atlanta_nadir49_catid_1030010003492700_738101_3735039
3,3,Atlanta_nadir13_catid_1030010002B7D800_738101_3735039
3,3,Atlanta_nadir50_catid_10300100039E6200_738101_3735039
3,3,Atlanta_nadir30_catid_10300100036D5200_738101_3735039
3,3,Atlanta_nadir53_catid_1030010003CD4300_738101_3735039
3,3,Atlanta_nadir23_catid_103001000352C200_738101_3735039
3,3,Atlanta_nadir36_catid_1030010003895500_738101_3735039
3,3,Atlanta_nadir29_catid_1030010003315300_738101_3735039
3,3,Atlanta_nadir53_catid_1030010003193D00_738101_3735039
3,3,Atlanta_nadir8_catid_10300100023BC100_738101_3735039
3,3,Atlanta_nadir39_catid_1030010003832800_738101_3735039
3,3,Atlanta_nadir34_catid_1030010003697400_738101_3735039
3,3,Atlanta_nadir25_catid_103001000307D800_738101_3735039
2,2,Atlanta_nadir44_catid_1030010003CCD700_740801_3736389
2,2,Atlanta_nadir7_catid_1030010003D22F00_740801_3736389
2,2,Atlanta_nadir10_catid_1030010003993E00_740801_3736389
2,2,Atlanta_nadir10_catid_1030010003CAF100_740801_3736389
2,2,Atlanta_nadir27_catid_1030010003472200_740801_3736389
2,2,Atlanta_nadir21_catid_1030010003127500_740801_3736389
2,2,Atlanta_nadir47_catid_10300100033C5200_740801_3736389
2,2,Atlanta_nadir32_catid_103001000392F600_740801_3736389
2,2,Atlanta_nadir52_catid_1030010003BDDC00_740801_3736389
2,2,Atlanta_nadir16_catid_1030010002649200_740801_3736389
2,2,Atlanta_nadir14_catid_10300100039AB000_740801_3736389
2,2,Atlanta_nadir19_catid_1030010003C92000_740801_3736389
2,2,Atlanta_nadir42_catid_10300100035D1B00_740801_3736389
2,2,Atlanta_nadir46_catid_1030010003713C00_740801_3736389
2,2,Atlanta_nadir49_catid_1030010003492700_740801_3736389
2,2,Atlanta_nadir13_catid_1030010002B7D800_740801_3736389
2,2,Atlanta_nadir50_catid_10300100039E6200_740801_3736389
2,2,Atlanta_nadir30_catid_10300100036D5200_740801_3736389
2,2,Atlanta_nadir53_catid_1030010003CD4300_740801_3736389
2,2,Atlanta_nadir23_catid_103001000352C200_740801_3736389
2,2,Atlanta_nadir36_catid_1030010003895500_740801_3736389
2,2,Atlanta_nadir29_catid_1030010003315300_740801_3736389
2,2,Atlanta_nadir53_catid_1030010003193D00_740801_3736389
2,2,Atlanta_nadir8_catid_10300100023BC100_740801_3736389
2,2,Atlanta_nadir39_catid_1030010003832800_740801_3736389
2,2,Atlanta_nadir34_catid_1030010003697400_740801_3736389
2,2,Atlanta_nadir25_catid_103001000307D800_740801_3736389
0,0,Atlanta_nadir44_catid_1030010003CCD700_735851_3734589
0,0,Atlanta_nadir7_catid_1030010003D22F00_735851_3734589
0,0,Atlanta_nadir10_catid_1030010003993E00_735851_3734589
0,0,Atlanta_nadir10_catid_1030010003CAF100_735851_3734589
0,0,Atlanta_nadir27_catid_1030010003472200_735851_3734589
0,0,Atlanta_nadir21_catid_1030010003127500_735851_3734589
0,0,Atlanta_nadir47_catid_10300100033C5200_735851_3734589
0,0,Atlanta_nadir32_catid_103001000392F600_735851_3734589
0,0,Atlanta_nadir52_catid_1030010003BDDC00_735851_3734589
0,0,Atlanta_nadir16_catid_1030010002649200_735851_3734589
0,0,Atlanta_nadir14_catid_10300100039AB000_735851_3734589
0,0,Atlanta_nadir19_catid_1030010003C92000_735851_3734589
0,0,Atlanta_nadir42_catid_10300100035D1B00_735851_3734589
0,0,Atlanta_nadir46_catid_1030010003713C00_735851_3734589
0,0,Atlanta_nadir49_catid_1030010003492700_735851_3734589
0,0,Atlanta_nadir13_catid_1030010002B7D800_735851_3734589
0,0,Atlanta_nadir50_catid_10300100039E6200_735851_3734589
0,0,Atlanta_nadir30_catid_10300100036D5200_735851_3734589
0,0,Atlanta_nadir53_catid_1030010003CD4300_735851_3734589
0,0,Atlanta_nadir23_catid_103001000352C200_735851_3734589
0,0,Atlanta_nadir36_catid_1030010003895500_735851_3734589
0,0,Atlanta_nadir29_catid_1030010003315300_735851_3734589
0,0,Atlanta_nadir53_catid_1030010003193D00_735851_3734589
0,0,Atlanta_nadir8_catid_10300100023BC100_735851_3734589
0,0,Atlanta_nadir39_catid_1030010003832800_735851_3734589
0,0,Atlanta_nadir34_catid_1030010003697400_735851_3734589
0,0,Atlanta_nadir25_catid_103001000307D800_735851_3734589
4,4,Atlanta_nadir44_catid_1030010003CCD700_737201_3738639
4,4,Atlanta_nadir7_catid_1030010003D22F00_737201_3738639
4,4,Atlanta_nadir10_catid_1030010003993E00_737201_3738639
4,4,Atlanta_nadir10_catid_1030010003CAF100_737201_3738639
4,4,Atlanta_nadir27_catid_1030010003472200_737201_3738639
4,4,Atlanta_nadir21_catid_1030010003127500_737201_3738639
4,4,Atlanta_nadir47_catid_10300100033C5200_737201_3738639
4,4,Atlanta_nadir32_catid_103001000392F600_737201_3738639
4,4,Atlanta_nadir52_catid_1030010003BDDC00_737201_3738639
4,4,Atlanta_nadir16_catid_1030010002649200_737201_3738639
4,4,Atlanta_nadir14_catid_10300100039AB000_737201_3738639
4,4,Atlanta_nadir19_catid_1030010003C92000_737201_3738639
4,4,Atlanta_nadir42_catid_10300100035D1B00_737201_3738639
4,4,Atlanta_nadir46_catid_1030010003713C00_737201_3738639
4,4,Atlanta_nadir49_catid_1030010003492700_737201_3738639
4,4,Atlanta_nadir13_catid_1030010002B7D800_737201_3738639
4,4,Atlanta_nadir50_catid_10300100039E6200_737201_3738639
4,4,Atlanta_nadir30_catid_10300100036D5200_737201_3738639
4,4,Atlanta_nadir53_catid_1030010003CD4300_737201_3738639
4,4,Atlanta_nadir23_catid_103001000352C200_737201_3738639
4,4,Atlanta_nadir36_catid_1030010003895500_737201_3738639
4,4,Atlanta_nadir29_catid_1030010003315300_737201_3738639
4,4,Atlanta_nadir53_catid_1030010003193D00_737201_3738639
4,4,Atlanta_nadir8_catid_10300100023BC100_737201_3738639
4,4,Atlanta_nadir39_catid_1030010003832800_737201_3738639
4,4,Atlanta_nadir34_catid_1030010003697400_737201_3738639
4,4,Atlanta_nadir25_catid_103001000307D800_737201_3738639
2,2,Atlanta_nadir44_catid_1030010003CCD700_733601_3733689
2,2,Atlanta_nadir7_catid_1030010003D22F00_733601_3733689
2,2,Atlanta_nadir10_catid_1030010003993E00_733601_3733689
2,2,Atlanta_nadir10_catid_1030010003CAF100_733601_3733689
2,2,Atlanta_nadir27_catid_1030010003472200_733601_3733689
2,2,Atlanta_nadir21_catid_1030010003127500_733601_3733689
2,2,Atlanta_nadir47_catid_10300100033C5200_733601_3733689
2,2,Atlanta_nadir32_catid_103001000392F600_733601_3733689
2,2,Atlanta_nadir52_catid_1030010003BDDC00_733601_3733689
2,2,Atlanta_nadir16_catid_1030010002649200_733601_3733689
2,2,Atlanta_nadir14_catid_10300100039AB000_733601_3733689
2,2,Atlanta_nadir19_catid_1030010003C92000_733601_3733689
2,2,Atlanta_nadir42_catid_10300100035D1B00_733601_3733689
2,2,Atlanta_nadir46_catid_1030010003713C00_733601_3733689
2,2,Atlanta_nadir49_catid_1030010003492700_733601_3733689
2,2,Atlanta_nadir13_catid_1030010002B7D800_733601_3733689
2,2,Atlanta_nadir50_catid_10300100039E6200_733601_3733689
2,2,Atlanta_nadir30_catid_10300100036D5200_733601_3733689
2,2,Atlanta_nadir53_catid_1030010003CD4300_733601_3733689
2,2,Atlanta_nadir23_catid_103001000352C200_733601_3733689
2,2,Atlanta_nadir36_catid_1030010003895500_733601_3733689
2,2,Atlanta_nadir29_catid_1030010003315300_733601_3733689
2,2,Atlanta_nadir53_catid_1030010003193D00_733601_3733689
2,2,Atlanta_nadir8_catid_10300100023BC100_733601_3733689
2,2,Atlanta_nadir39_catid_1030010003832800_733601_3733689
2,2,Atlanta_nadir34_catid_1030010003697400_733601_3733689
2,2,Atlanta_nadir25_catid_103001000307D800_733601_3733689
3,3,Atlanta_nadir44_catid_1030010003CCD700_734501_3739989
3,3,Atlanta_nadir7_catid_1030010003D22F00_734501_3739989
3,3,Atlanta_nadir10_catid_1030010003993E00_734501_3739989
3,3,Atlanta_nadir10_catid_1030010003CAF100_734501_3739989
3,3,Atlanta_nadir27_catid_1030010003472200_734501_3739989
3,3,Atlanta_nadir21_catid_1030010003127500_734501_3739989
3,3,Atlanta_nadir47_catid_10300100033C5200_734501_3739989
3,3,Atlanta_nadir32_catid_103001000392F600_734501_3739989
3,3,Atlanta_nadir52_catid_1030010003BDDC00_734501_3739989
3,3,Atlanta_nadir16_catid_1030010002649200_734501_3739989
3,3,Atlanta_nadir14_catid_10300100039AB000_734501_3739989
3,3,Atlanta_nadir19_catid_1030010003C92000_734501_3739989
3,3,Atlanta_nadir42_catid_10300100035D1B00_734501_3739989
3,3,Atlanta_nadir46_catid_1030010003713C00_734501_3739989
3,3,Atlanta_nadir49_catid_1030010003492700_734501_3739989
3,3,Atlanta_nadir13_catid_1030010002B7D800_734501_3739989
3,3,Atlanta_nadir50_catid_10300100039E6200_734501_3739989
3,3,Atlanta_nadir30_catid_10300100036D5200_734501_3739989
3,3,Atlanta_nadir53_catid_1030010003CD4300_734501_3739989
3,3,Atlanta_nadir23_catid_103001000352C200_734501_3739989
3,3,Atlanta_nadir36_catid_1030010003895500_734501_3739989
3,3,Atlanta_nadir29_catid_1030010003315300_734501_3739989
3,3,Atlanta_nadir53_catid_1030010003193D00_734501_3739989
3,3,Atlanta_nadir8_catid_10300100023BC100_734501_3739989
3,3,Atlanta_nadir39_catid_1030010003832800_734501_3739989
3,3,Atlanta_nadir34_catid_1030010003697400_734501_3739989
3,3,Atlanta_nadir25_catid_103001000307D800_734501_3739989
1,1,Atlanta_nadir44_catid_1030010003CCD700_738101_3726939
1,1,Atlanta_nadir7_catid_1030010003D22F00_738101_3726939
1,1,Atlanta_nadir10_catid_1030010003993E00_738101_3726939
1,1,Atlanta_nadir10_catid_1030010003CAF100_738101_3726939
1,1,Atlanta_nadir27_catid_1030010003472200_738101_3726939
1,1,Atlanta_nadir21_catid_1030010003127500_738101_3726939
1,1,Atlanta_nadir47_catid_10300100033C5200_738101_3726939
1,1,Atlanta_nadir32_catid_103001000392F600_738101_3726939
1,1,Atlanta_nadir52_catid_1030010003BDDC00_738101_3726939
1,1,Atlanta_nadir16_catid_1030010002649200_738101_3726939
1,1,Atlanta_nadir14_catid_10300100039AB000_738101_3726939
1,1,Atlanta_nadir19_catid_1030010003C92000_738101_3726939
1,1,Atlanta_nadir42_catid_10300100035D1B00_738101_3726939
1,1,Atlanta_nadir46_catid_1030010003713C00_738101_3726939
1,1,Atlanta_nadir49_catid_1030010003492700_738101_3726939
1,1,Atlanta_nadir13_catid_1030010002B7D800_738101_3726939
1,1,Atlanta_nadir50_catid_10300100039E6200_738101_3726939
1,1,Atlanta_nadir30_catid_10300100036D5200_738101_3726939
1,1,Atlanta_nadir53_catid_1030010003CD4300_738101_3726939
1,1,Atlanta_nadir23_catid_103001000352C200_738101_3726939
1,1,Atlanta_nadir36_catid_1030010003895500_738101_3726939
1,1,Atlanta_nadir29_catid_1030010003315300_738101_3726939
1,1,Atlanta_nadir53_catid_1030010003193D00_738101_3726939
1,1,Atlanta_nadir8_catid_10300100023BC100_738101_3726939
1,1,Atlanta_nadir39_catid_1030010003832800_738101_3726939
1,1,Atlanta_nadir34_catid_1030010003697400_738101_3726939
1,1,Atlanta_nadir25_catid_103001000307D800_738101_3726939
2,2,Atlanta_nadir44_catid_1030010003CCD700_737201_3733239
2,2,Atlanta_nadir7_catid_1030010003D22F00_737201_3733239
2,2,Atlanta_nadir10_catid_1030010003993E00_737201_3733239
2,2,Atlanta_nadir10_catid_1030010003CAF100_737201_3733239
2,2,Atlanta_nadir27_catid_1030010003472200_737201_3733239
2,2,Atlanta_nadir21_catid_1030010003127500_737201_3733239
2,2,Atlanta_nadir47_catid_10300100033C5200_737201_3733239
2,2,Atlanta_nadir32_catid_103001000392F600_737201_3733239
2,2,Atlanta_nadir52_catid_1030010003BDDC00_737201_3733239
2,2,Atlanta_nadir16_catid_1030010002649200_737201_3733239
2,2,Atlanta_nadir14_catid_10300100039AB000_737201_3733239
2,2,Atlanta_nadir19_catid_1030010003C92000_737201_3733239
2,2,Atlanta_nadir42_catid_10300100035D1B00_737201_3733239
2,2,Atlanta_nadir46_catid_1030010003713C00_737201_3733239
2,2,Atlanta_nadir49_catid_1030010003492700_737201_3733239
2,2,Atlanta_nadir13_catid_1030010002B7D800_737201_3733239
2,2,Atlanta_nadir50_catid_10300100039E6200_737201_3733239
2,2,Atlanta_nadir30_catid_10300100036D5200_737201_3733239
2,2,Atlanta_nadir53_catid_1030010003CD4300_737201_3733239
2,2,Atlanta_nadir23_catid_103001000352C200_737201_3733239
2,2,Atlanta_nadir36_catid_1030010003895500_737201_3733239
2,2,Atlanta_nadir29_catid_1030010003315300_737201_3733239
2,2,Atlanta_nadir53_catid_1030010003193D00_737201_3733239
2,2,Atlanta_nadir8_catid_10300100023BC100_737201_3733239
2,2,Atlanta_nadir39_catid_1030010003832800_737201_3733239
2,2,Atlanta_nadir34_catid_1030010003697400_737201_3733239
2,2,Atlanta_nadir25_catid_103001000307D800_737201_3733239
4,4,Atlanta_nadir44_catid_1030010003CCD700_739001_3731439
4,4,Atlanta_nadir7_catid_1030010003D22F00_739001_3731439
4,4,Atlanta_nadir10_catid_1030010003993E00_739001_3731439
4,4,Atlanta_nadir10_catid_1030010003CAF100_739001_3731439
4,4,Atlanta_nadir27_catid_1030010003472200_739001_3731439
4,4,Atlanta_nadir21_catid_1030010003127500_739001_3731439
4,4,Atlanta_nadir47_catid_10300100033C5200_739001_3731439
4,4,Atlanta_nadir32_catid_103001000392F600_739001_3731439
4,4,Atlanta_nadir52_catid_1030010003BDDC00_739001_3731439
4,4,Atlanta_nadir16_catid_1030010002649200_739001_3731439
4,4,Atlanta_nadir14_catid_10300100039AB000_739001_3731439
4,4,Atlanta_nadir19_catid_1030010003C92000_739001_3731439
4,4,Atlanta_nadir42_catid_10300100035D1B00_739001_3731439
4,4,Atlanta_nadir46_catid_1030010003713C00_739001_3731439
4,4,Atlanta_nadir49_catid_1030010003492700_739001_3731439
4,4,Atlanta_nadir13_catid_1030010002B7D800_739001_3731439
4,4,Atlanta_nadir50_catid_10300100039E6200_739001_3731439
4,4,Atlanta_nadir30_catid_10300100036D5200_739001_3731439
4,4,Atlanta_nadir53_catid_1030010003CD4300_739001_3731439
4,4,Atlanta_nadir23_catid_103001000352C200_739001_3731439
4,4,Atlanta_nadir36_catid_1030010003895500_739001_3731439
4,4,Atlanta_nadir29_catid_1030010003315300_739001_3731439
4,4,Atlanta_nadir53_catid_1030010003193D00_739001_3731439
4,4,Atlanta_nadir8_catid_10300100023BC100_739001_3731439
4,4,Atlanta_nadir39_catid_1030010003832800_739001_3731439
4,4,Atlanta_nadir34_catid_1030010003697400_739001_3731439
4,4,Atlanta_nadir25_catid_103001000307D800_739001_3731439
4,4,Atlanta_nadir44_catid_1030010003CCD700_737651_3731439
4,4,Atlanta_nadir7_catid_1030010003D22F00_737651_3731439
4,4,Atlanta_nadir10_catid_1030010003993E00_737651_3731439
4,4,Atlanta_nadir10_catid_1030010003CAF100_737651_3731439
4,4,Atlanta_nadir27_catid_1030010003472200_737651_3731439
4,4,Atlanta_nadir21_catid_1030010003127500_737651_3731439
4,4,Atlanta_nadir47_catid_10300100033C5200_737651_3731439
4,4,Atlanta_nadir32_catid_103001000392F600_737651_3731439
4,4,Atlanta_nadir52_catid_1030010003BDDC00_737651_3731439
4,4,Atlanta_nadir16_catid_1030010002649200_737651_3731439
4,4,Atlanta_nadir14_catid_10300100039AB000_737651_3731439
4,4,Atlanta_nadir19_catid_1030010003C92000_737651_3731439
4,4,Atlanta_nadir42_catid_10300100035D1B00_737651_3731439
4,4,Atlanta_nadir46_catid_1030010003713C00_737651_3731439
4,4,Atlanta_nadir49_catid_1030010003492700_737651_3731439
4,4,Atlanta_nadir13_catid_1030010002B7D800_737651_3731439
4,4,Atlanta_nadir50_catid_10300100039E6200_737651_3731439
4,4,Atlanta_nadir30_catid_10300100036D5200_737651_3731439
4,4,Atlanta_nadir53_catid_1030010003CD4300_737651_3731439
4,4,Atlanta_nadir23_catid_103001000352C200_737651_3731439
4,4,Atlanta_nadir36_catid_1030010003895500_737651_3731439
4,4,Atlanta_nadir29_catid_1030010003315300_737651_3731439
4,4,Atlanta_nadir53_catid_1030010003193D00_737651_3731439
4,4,Atlanta_nadir8_catid_10300100023BC100_737651_3731439
4,4,Atlanta_nadir39_catid_1030010003832800_737651_3731439
4,4,Atlanta_nadir34_catid_1030010003697400_737651_3731439
4,4,Atlanta_nadir25_catid_103001000307D800_737651_3731439
2,2,Atlanta_nadir44_catid_1030010003CCD700_734501_3736389
2,2,Atlanta_nadir7_catid_1030010003D22F00_734501_3736389
2,2,Atlanta_nadir10_catid_1030010003993E00_734501_3736389
2,2,Atlanta_nadir10_catid_1030010003CAF100_734501_3736389
2,2,Atlanta_nadir27_catid_1030010003472200_734501_3736389
2,2,Atlanta_nadir21_catid_1030010003127500_734501_3736389
2,2,Atlanta_nadir47_catid_10300100033C5200_734501_3736389
2,2,Atlanta_nadir32_catid_103001000392F600_734501_3736389
2,2,Atlanta_nadir52_catid_1030010003BDDC00_734501_3736389
2,2,Atlanta_nadir16_catid_1030010002649200_734501_3736389
2,2,Atlanta_nadir14_catid_10300100039AB000_734501_3736389
2,2,Atlanta_nadir19_catid_1030010003C92000_734501_3736389
2,2,Atlanta_nadir42_catid_10300100035D1B00_734501_3736389
2,2,Atlanta_nadir46_catid_1030010003713C00_734501_3736389
2,2,Atlanta_nadir49_catid_1030010003492700_734501_3736389
2,2,Atlanta_nadir13_catid_1030010002B7D800_734501_3736389
2,2,Atlanta_nadir50_catid_10300100039E6200_734501_3736389
2,2,Atlanta_nadir30_catid_10300100036D5200_734501_3736389
2,2,Atlanta_nadir53_catid_1030010003CD4300_734501_3736389
2,2,Atlanta_nadir23_catid_103001000352C200_734501_3736389
2,2,Atlanta_nadir36_catid_1030010003895500_734501_3736389
2,2,Atlanta_nadir29_catid_1030010003315300_734501_3736389
2,2,Atlanta_nadir53_catid_1030010003193D00_734501_3736389
2,2,Atlanta_nadir8_catid_10300100023BC100_734501_3736389
2,2,Atlanta_nadir39_catid_1030010003832800_734501_3736389
2,2,Atlanta_nadir34_catid_1030010003697400_734501_3736389
2,2,Atlanta_nadir25_catid_103001000307D800_734501_3736389
0,0,Atlanta_nadir44_catid_1030010003CCD700_734501_3720639
0,0,Atlanta_nadir7_catid_1030010003D22F00_734501_3720639
0,0,Atlanta_nadir10_catid_1030010003993E00_734501_3720639
0,0,Atlanta_nadir10_catid_1030010003CAF100_734501_3720639
0,0,Atlanta_nadir27_catid_1030010003472200_734501_3720639
0,0,Atlanta_nadir21_catid_1030010003127500_734501_3720639
0,0,Atlanta_nadir47_catid_10300100033C5200_734501_3720639
0,0,Atlanta_nadir32_catid_103001000392F600_734501_3720639
0,0,Atlanta_nadir52_catid_1030010003BDDC00_734501_3720639
0,0,Atlanta_nadir16_catid_1030010002649200_734501_3720639
0,0,Atlanta_nadir14_catid_10300100039AB000_734501_3720639
0,0,Atlanta_nadir19_catid_1030010003C92000_734501_3720639
0,0,Atlanta_nadir42_catid_10300100035D1B00_734501_3720639
0,0,Atlanta_nadir46_catid_1030010003713C00_734501_3720639
0,0,Atlanta_nadir49_catid_1030010003492700_734501_3720639
0,0,Atlanta_nadir13_catid_1030010002B7D800_734501_3720639
0,0,Atlanta_nadir50_catid_10300100039E6200_734501_3720639
0,0,Atlanta_nadir30_catid_10300100036D5200_734501_3720639
0,0,Atlanta_nadir53_catid_1030010003CD4300_734501_3720639
0,0,Atlanta_nadir23_catid_103001000352C200_734501_3720639
0,0,Atlanta_nadir36_catid_1030010003895500_734501_3720639
0,0,Atlanta_nadir29_catid_1030010003315300_734501_3720639
0,0,Atlanta_nadir53_catid_1030010003193D00_734501_3720639
0,0,Atlanta_nadir8_catid_10300100023BC100_734501_3720639
0,0,Atlanta_nadir39_catid_1030010003832800_734501_3720639
0,0,Atlanta_nadir34_catid_1030010003697400_734501_3720639
0,0,Atlanta_nadir25_catid_103001000307D800_734501_3720639
2,2,Atlanta_nadir44_catid_1030010003CCD700_738551_3743589
2,2,Atlanta_nadir7_catid_1030010003D22F00_738551_3743589
2,2,Atlanta_nadir10_catid_1030010003993E00_738551_3743589
2,2,Atlanta_nadir10_catid_1030010003CAF100_738551_3743589
2,2,Atlanta_nadir27_catid_1030010003472200_738551_3743589
2,2,Atlanta_nadir21_catid_1030010003127500_738551_3743589
2,2,Atlanta_nadir47_catid_10300100033C5200_738551_3743589
2,2,Atlanta_nadir32_catid_103001000392F600_738551_3743589
2,2,Atlanta_nadir52_catid_1030010003BDDC00_738551_3743589
2,2,Atlanta_nadir16_catid_1030010002649200_738551_3743589
2,2,Atlanta_nadir14_catid_10300100039AB000_738551_3743589
2,2,Atlanta_nadir19_catid_1030010003C92000_738551_3743589
2,2,Atlanta_nadir42_catid_10300100035D1B00_738551_3743589
2,2,Atlanta_nadir46_catid_1030010003713C00_738551_3743589
2,2,Atlanta_nadir49_catid_1030010003492700_738551_3743589
2,2,Atlanta_nadir13_catid_1030010002B7D800_738551_3743589
2,2,Atlanta_nadir50_catid_10300100039E6200_738551_3743589
2,2,Atlanta_nadir30_catid_10300100036D5200_738551_3743589
2,2,Atlanta_nadir53_catid_1030010003CD4300_738551_3743589
